"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES UNDERLYING DRS (C1)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","AS ON DATE","ACTION"
"Network18 Media & Investments Limited","75","25",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153079_348191_21102020014655_WEB.xml"
"Indiabulls Integrated Services Limited","43.25","56.75",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153080_348193_21102020015353_WEB.xml"
"TV18 Broadcast Limited","60.4","39.6",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153081_348199_21102020015635_WEB.xml"
"S.A.L. Steel Limited","50.56","49.44",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153082_348208_21102020020029_WEB.xml"
"Kohinoor Foods Limited","54.56","45.45",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153084_348214_21102020020247_WEB.xml"
"Pradip Overseas Limited","53.25","46.75",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153085_348223_21102020020621_WEB.xml"
"Cineline India Limited","70.29","29.71",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153087_348230_21102020021622_WEB.xml"
"Autolite (India) Limited","54.14","45.86",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153088_348236_21102020021742_WEB.xml"
"The Byke Hospitality Ltd","46.86","53.14",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153089_348249_21102020022330_WEB.xml"
"Palred Technologies Limited","37.78","62.22",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153090_348251_21102020022334_WEB.xml"
"Vikas Multicorp Limited","53.5","46.5",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153092_348281_21102020024039_WEB.xml"
"Poddar Housing and Development Limited","61.02","38.98",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153093_348287_21102020024103_WEB.xml"
"3rd Rock Multimedia Limited","23.17","76.83",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153094_348290_21102020024156_WEB.xml"
"Ganesha Ecosphere Limited","40.91","59.09",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153095_348306_21102020024955_WEB.xml"
"The Sandesh Limited","74.81","25.19",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153096_348308_21102020025001_WEB.xml"
"Prakash Industries Limited","42.05","57.96",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153097_348321_21102020025326_WEB.xml"
"Vimal Oil & Foods Limited","72.52","27.48",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153100_348341_21102020030509_WEB.xml"
"Panache Digilife Limited","65.49","34.5",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153102_348347_21102020030712_WEB.xml"
"HMT Limited","93.69","6.31",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153103_348356_21102020030925_WEB.xml"
"IVP Limited","70.86","29.14",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153104_348374_21102020031544_WEB.xml"
"General Insurance Corporation of India","85.78","14.22",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153105_348391_21102020031941_WEB.xml"
"United Spirits Limited","56.76","43.24",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153106_348396_21102020032013_WEB.xml"
"Ambica Agarbathies & Aroma industries Limited","48.35","51.65",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153107_348397_21102020032014_WEB.xml"
"Alkali Metals Limited","69.64","30.36",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153108_348399_21102020032020_WEB.xml"
"Ashapura Intimates Fashion Limited","14.76","85.24",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153109_348409_21102020032211_WEB.xml"
"Energy Development Company Limited","58.14","41.86",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153111_348431_21102020032858_WEB.xml"
"Thomas Scott (India) Limited","68.03","31.97",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153112_348436_21102020032927_WEB.xml"
"Bang Overseas Limited","72.98","27.02",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153113_348452_21102020033233_WEB.xml"
"Sreeleathers Limited","66.54","33.46",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153114_348460_21102020033746_WEB.xml"
"The Federal Bank  Limited","0","100",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153115_348464_21102020033957_WEB.xml"
"Apollo Sindoori Hotels Limited","64.68","35.32",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153117_348468_21102020034133_WEB.xml"
"Paras Petrofils Limited","39.3","60.7",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153118_348473_21102020034306_WEB.xml"
"Confidence Petroleum India Limited","54.16","45.84",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153119_348479_21102020034357_WEB.xml"
"Magadh Sugar & Energy Limited","60.95","39.05",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153120_348486_21102020034730_WEB.xml"
"Punjab Chemicals & Crop Protection Limited","39.22","60.79",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153122_348494_21102020035211_WEB.xml"
"Zuari Global Limited","54.83","45.17",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153123_348499_21102020035402_WEB.xml"
"Dynamatic Technologies Limited","48.78","51.22",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153124_348505_21102020035640_WEB.xml"
"Commercial Engineers & Body Builders Co Limited","60.65","39.35",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153125_348513_21102020040141_WEB.xml"
"Parabolic Drugs Limited","37.79","62.21",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153126_348515_21102020040315_WEB.xml"
"Kalyani Commercials Limited","53.14","46.86",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153127_348525_21102020040644_WEB.xml"
"Future Lifestyle Fashions Limited","20.39","79.43",,"0.18","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153128_348531_21102020040746_WEB.xml"
"Nilkamal Limited","64.33","35.67",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153129_348535_21102020040902_WEB.xml"
"Shriram City Union Finance Limited","34.56","65.44",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153130_348536_21102020040904_WEB.xml"
"Supreme Infrastructure India Limited","34.68","65.32",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153132_348544_21102020041143_WEB.xml"
"Lasa Supergenerics Limited","64.47","35.53",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153133_348546_21102020041253_WEB.xml"
"Visaka Industries Limited","44.5","55.5",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153134_348553_21102020041401_WEB.xml"
"Ucal Fuel Systems Limited","70.33","29.67",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153135_348555_21102020041422_WEB.xml"
"Puravankara Limited","75","25",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153136_348584_21102020043113_WEB.xml"
"Latteys Industries Limited","73.43","26.57",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153137_348592_21102020043344_WEB.xml"
"Jindal Worldwide Limited","61.15","38.85",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153139_348605_21102020043800_WEB.xml"
"RattanIndia Power Limited","39.33","60.67",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153140_348610_21102020043917_WEB.xml"
"IL&FS Investment Managers Limited","50.42","49.58",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153141_348612_21102020043939_WEB.xml"
"Bliss GVS Pharma Limited","41.6","58.4",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153142_348617_21102020044235_WEB.xml"
"Ashiana Housing Limited","61.22","38.78",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153143_348620_21102020044245_WEB.xml"
"Vikas EcoTech Limited","31.87","68.13",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153144_348623_21102020044318_WEB.xml"
"Ballarpur Industries Limited","2.68","97.32",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153145_348629_21102020044418_WEB.xml"
"Kridhan Infra Limited","47.15","52.85",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153146_348634_21102020044522_WEB.xml"
"Kalyani Forge Limited","58.61","41.39",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153147_348653_21102020045247_WEB.xml"
"Arcotech Limited","39.96","60.04",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153148_348657_21102020045345_WEB.xml"
"KSK Energy Ventures Limited","25.6","74.4",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153149_348661_21102020045418_WEB.xml"
"Bombay Rayon Fashions Limited","35.57","64.43",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153150_348667_21102020045750_WEB.xml"
"Pashupati Cotspin Limited","65.8","34.21",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153151_348673_21102020050036_WEB.xml"
"Indiabulls Housing Finance Limited","21.7","74.62",,"3.68","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153155_348685_21102020050419_WEB.xml"
"Nandan Denim Limited","64.74","35.31",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153156_348714_21102020051029_WEB.xml"
"Opto Circuits (India) Limited","18.52","81.48",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153158_348717_21102020051047_WEB.xml"
"Accuracy Shipping Limited","62.95","37.04",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153159_348719_21102020051051_WEB.xml"
"Jain Irrigation Systems Limited","28.64","70.96",,"0.38","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153160_348725_21102020051203_WEB.xml"
"Piramal Enterprises Limited","46.06","53.19",,"0.76","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153161_348732_21102020051514_WEB.xml"
"D.B.Corp Limited","71.78","28.22",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153162_348746_21102020051754_WEB.xml"
"Kritika Wires Limited","72.89","27.1",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153163_348748_21102020051810_WEB.xml"
"JHS Svendgaard Laboratories Limited","44.17","55.83",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153166_348757_21102020052307_WEB.xml"
"Inventure Growth & Securities Limited","27.59","72.4",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153167_348761_21102020052525_WEB.xml"
"Ankit Metal & Power Limited","71.02","28.99",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153168_348772_21102020052744_WEB.xml"
"Mazagon Dock Shipbuilders Limited","100","0",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153169_348774_21102020052747_WEB.xml"
"Stampede Capital Limited","0.25","99.75",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153170_348780_21102020053534_WEB.xml"
"Sonam Clock Limited","74.13","25.87",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153174_348799_21102020055133_WEB.xml"
"Stampede Capital Limited","0.17","99.83",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153175_348812_21102020055507_WEB.xml"
"Marico Limited","59.61","40.31",,"0.08","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153176_348814_21102020055517_WEB.xml"
"Bharatiya Global Infomedia Limited","48.83","51.17",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153177_348820_21102020055602_WEB.xml"
"Bartronics India Limited","10.55","89.45",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153178_348828_21102020055645_WEB.xml"
"One Point One Solutions Limited","65.24","34.76",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153179_348831_21102020055933_WEB.xml"
"MMP Industries Limited","73.85","26.16",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153180_348838_21102020060240_WEB.xml"
"Shoppers Stop Limited","63.86","36.14",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153181_348854_21102020060607_WEB.xml"
"Hindustan Media Ventures Limited","74.4","25.29",,"0.31","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153182_348860_21102020060759_WEB.xml"
"VA Tech Wabag Limited","21.7","78.3",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153183_348866_21102020061151_WEB.xml"
"Khfm Hospitality And Facility Management Services Limited","71.02","28.98",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153184_348887_21102020061647_WEB.xml"
"Jain Irrigation Systems Limited","30.37","69.62",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153185_348894_21102020061937_WEB.xml"
"Asian Paints Limited","52.79","47.21",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153187_348906_21102020062134_WEB.xml"
"Celebrity Fashions Limited","41.82","58.18",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153188_348912_21102020062330_WEB.xml"
"Allied Digital Services Limited","49.44","50.56",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153189_348917_21102020062824_WEB.xml"
"Chemcon Speciality Chemicals Limited","74.47","25.53",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153190_348926_21102020063051_WEB.xml"
"Pritish Nandy Communications Limited","49.89","50.1",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153192_348937_21102020063421_WEB.xml"
"Keynote Financial Services Limited","57.88","42.12",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153193_348941_21102020063540_WEB.xml"
"Visagar Polytex Limited","25.12","74.88",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153194_348943_21102020063605_WEB.xml"
"PI Industries Limited","46.75","53.17",,"0.08","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153195_348945_21102020063617_WEB.xml"
"Parenteral Drugs (India) Limited","73.28","26.72",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153196_348949_21102020064456_WEB.xml"
"SPML Infra Limited","29.88","70.12",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153197_348953_21102020064530_WEB.xml"
"Ksb Limited","66.41","33.59",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153198_348969_21102020065200_WEB.xml"
"Navin Fluorine International Limited","30.51","69.49",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153199_348973_21102020065434_WEB.xml"
"Vaxtex Cotfab Limited","73.61","26.39",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153200_348983_21102020065809_WEB.xml"
"Mangalam Cement Limited","23.62","76.38",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153201_348986_21102020065956_WEB.xml"
"Sharon Bio-Medicine Limited","32.53","67.47",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153202_348991_21102020070413_WEB.xml"
"S. P. Apparels Limited","61.69","38.31",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153204_349004_21102020071159_WEB.xml"
"Cipla Limited","36.7","63.3",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153205_349011_21102020071527_WEB.xml"
"Niraj Ispat Industries Limited","74.59","25.42",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153206_349014_21102020071840_WEB.xml"
"Indian Terrain Fashions Limited","30.09","69.91",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153207_349017_21102020072112_WEB.xml"
"Simbhaoli Sugars Limited","53.33","46.67",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153208_349020_21102020072327_WEB.xml"
"Jalan Transolutions (India) Limited","73.52","26.48",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153209_349028_21102020073049_WEB.xml"
"Shanthi Gears Limited","70.47","29.53",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153210_349032_21102020073416_WEB.xml"
"IDFC First Bank Limited","40","60",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153211_349035_21102020073522_WEB.xml"
"Alankit Limited","71.33","28.67",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153212_349038_21102020073755_WEB.xml"
"Viceroy Hotels Limited","19","81",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153213_349042_21102020074356_WEB.xml"
"Oriental Trimex Limited","28.08","71.92",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153215_349054_21102020075838_WEB.xml"
"Cox & Kings Limited","12.2","87.8",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153216_349056_21102020075933_WEB.xml"
"Tata Steel Long Products Limited","75.91","24.09",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153218_349064_21102020080245_WEB.xml"
"Easun Reyrolle Limited","36.03","63.97",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153219_349067_21102020080651_WEB.xml"
"Websol Energy System Limited","25.22","74.78",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153220_349070_21102020080730_WEB.xml"
"Arshiya Limited","49.18","50.82",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153221_349072_21102020080744_WEB.xml"
"Akg Exim Limited","67.76","32.24",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153222_349077_21102020081026_WEB.xml"
"Magnum Ventures Limited","53.08","46.92",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153223_349080_21102020081200_WEB.xml"
"Wendt (India) Limited","79.74","20.26",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153224_349083_21102020081259_WEB.xml"
"Adani Ports and Special Economic Zone Limited","63.65","36.35",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153225_349096_21102020082412_WEB.xml"
"D P Wires Limited","69.59","30.42",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153226_349099_21102020082602_WEB.xml"
"India Nippon Electricals Limited","66.39","33.61",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153227_349101_21102020082658_WEB.xml"
"Prakash Pipes Limited","38.99","61.01",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153228_349115_21102020083658_WEB.xml"
"Intense Technologies Limited","18.23","81.77",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153230_349126_21102020084545_WEB.xml"
"Alok Industries Limited","75","25",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_153231_349147_21102020090429_WEB.xml"
