"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES UNDERLYING DRS (C1)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","AS ON DATE","ACTION"
"Beta Drugs Limited","66.61","33.39",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150857_326259_03102020025321_WEB.xml"
"Emmbi Industries Limited","58.17","41.83",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150858_326297_03102020042853_WEB.xml"
"R. S. Software (India) Limited","40.67","59.33",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150860_326378_04102020050311_WEB.xml"
"Khaitan (India) Limited","60.25","39.76",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150864_326552_05102020022220_WEB.xml"
"Mafatlal Finance Limited","63.74","36.27",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150867_326568_05102020023837_WEB.xml"
"Torrent Power Limited","53.56","46.45",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150869_326599_05102020033122_WEB.xml"
"Tide Water Oil Company (India) Limited","57.28","40.27",,"2.46","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150876_326725_05102020050928_WEB.xml"
"Aarti Surfactants Limited","48.66","51.34",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150879_326849_05102020080934_WEB.xml"
"Indian Hume Pipe Company Limited","69.92","30.08",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150881_326873_05102020090205_WEB.xml"
"Just Dial Limited","34.28","65.72",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150882_326884_06102020125021_WEB.xml"
"Srikalahasthi Pipes Limited","48.15","51.85",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150883_326899_06102020094327_WEB.xml"
"Granules India Limited","42.04","57.96",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150884_326912_06102020101730_WEB.xml"
"Tembo Global Industries Limited","72.77","27.23",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150889_326995_06102020111920_WEB.xml"
"Hisar Metal Industries Limited","56.11","43.89",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150891_327015_06102020114511_WEB.xml"
"Jocil Limited","55.02","44.97",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150892_327019_06102020115308_WEB.xml"
"Advani Hotels & Resorts (India) Limited","50.17","49.84",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150894_327036_06102020120452_WEB.xml"
"HCL Infosystems Limited","62.89","37.11",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150895_327038_06102020120611_WEB.xml"
"State Bank of India","57.63","42.37",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150897_327072_06102020122927_WEB.xml"
"Grindwell Norton Limited","58.32","41.68",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150899_327088_06102020124503_WEB.xml"
"Ahimsa Industries Limited","69.28","30.72",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150900_327099_06102020124606_WEB.xml"
"KNR Constructions Limited","55.03","44.97",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150902_327163_06102020125813_WEB.xml"
"N. B. I. Industrial Finance Company Limited","60.03","39.96",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150903_327172_06102020010311_WEB.xml"
"Digjam Limited","31.41","68.59",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150906_327196_06102020014330_WEB.xml"
"Agro Phos India Limited","54.27","45.73",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150907_327255_06102020015719_WEB.xml"
"Rain Industries Limited","41.14","58.86",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150908_327306_06102020022227_WEB.xml"
"Coal India Limited","66.13","33.87",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150911_327375_06102020030538_WEB.xml"
"Orient Refractories Limited","66.49","33.51",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150912_327380_06102020030623_WEB.xml"
"GTPL Hathway Limited","75","25",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150914_327415_06102020033013_WEB.xml"
"Wheels India Limited","55.1","44.9",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150915_327437_06102020034158_WEB.xml"
"STEEL EXCHANGE INDIA LIMITED","47.58","52.42",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150916_327451_06102020034807_WEB.xml"
"Gujarat State Fertilizers & Chemicals Limited","37.84","62.16",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150917_327464_06102020035449_WEB.xml"
"Natco Pharma Limited","48.91","51.09",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150918_327468_06102020035528_WEB.xml"
"BOROSIL RENEWABLES LIMITED","70.5","29.5",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150920_327482_06102020040233_WEB.xml"
"Omfurn India Limited","73.4","26.6",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150923_327506_06102020041918_WEB.xml"
"Prince Pipes And Fittings Limited","63.25","36.75",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150924_327531_06102020042715_WEB.xml"
"Precot Meridian Limited","61.38","38.61",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150925_327534_06102020042926_WEB.xml"
"Kitex Garments Limited","55.57","44.43",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150926_327539_06102020043158_WEB.xml"
"Ausom Enterprise Limited","73.7","26.3",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150927_327545_06102020043814_WEB.xml"
"Maheshwari Logistics Limited","57.4","42.59",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150929_327617_06102020050646_WEB.xml"
"Ushanti Colour Chem Limited","74.33","25.66",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150930_327629_06102020051248_WEB.xml"
"Aditya Birla Money Limited","73.8","26.2",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150931_327642_06102020052050_WEB.xml"
"Indiamart Intermesh Limited","51.99","47.4",,"0.61","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150934_327738_06102020060713_WEB.xml"
"Borosil Limited","70.5","29.5",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150936_327824_06102020071658_WEB.xml"
"Mold-Tek Packaging Limited","34.76","65.24",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150937_327833_06102020075424_WEB.xml"
"Mayur Uniquoters Ltd","61.48","38.52",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150941_327906_07102020100752_WEB.xml"
"De Nora India Limited","53.68","46.32",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150942_327929_07102020104055_WEB.xml"
"SJVN Limited","86.77","13.23",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150944_327952_07102020111111_WEB.xml"
"SEL Manufacturing Company Limited","18.55","81.45",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150945_327966_07102020111807_WEB.xml"
"Max Financial Services Limited","22.33","77.67",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150947_327993_07102020113008_WEB.xml"
"Paramount Communications Limited","60.08","39.92",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150948_328023_07102020114100_WEB.xml"
"Angel Broking Limited","44.56","55.44",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150953_328075_07102020121833_WEB.xml"
"Solex Energy Limited","70.43","29.57",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150954_328118_07102020123359_WEB.xml"
"Madhya Pradesh Today Media Limited","53.41","46.59",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150955_328127_07102020124053_WEB.xml"
"Intrasoft Technologies Limited","47.68","52.32",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150956_328134_07102020124253_WEB.xml"
"Indian Card Clothing Company Limited","57.35","42.65",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150957_328144_07102020124632_WEB.xml"
"Precision Camshafts Limited","65.37","34.62",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150959_328168_07102020125643_WEB.xml"
"Ahluwalia Contracts (India) Limited","58","42",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150960_328176_07102020125833_WEB.xml"
"Focus Lighting and Fixtures Limited","73.36","26.64",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150962_328195_07102020010346_WEB.xml"
"Supreme Engineering Limited","68.3","31.7",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150964_328230_07102020012301_WEB.xml"
"Dangee Dums Limited","69.32","30.68",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150965_328233_07102020012352_WEB.xml"
"Macpower CNC Machines Limited","70.04","29.95",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150966_328276_07102020015225_WEB.xml"
"BASF India Limited","73.33","26.68",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150968_328293_07102020021133_WEB.xml"
"Bharat Wire Ropes Limited","40.23","59.77",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150970_328295_07102020021222_WEB.xml"
"Sintex Industries Limited","4.58","95.42",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150972_328316_07102020023353_WEB.xml"
"Gujarat Raffia Industries Limited","39.26","60.74",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150973_328350_07102020025458_WEB.xml"
"Ganesh Housing Corporation Limited","54.36","45.64",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150974_328356_07102020025739_WEB.xml"
"Suprajit Engineering Limited","44.57","55.43",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150975_328361_07102020030801_WEB.xml"
"Aries Agro Limited","52.66","47.34",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150977_328389_07102020031939_WEB.xml"
"Karma Energy Limited","74.7","25.3",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150978_328394_07102020032211_WEB.xml"
"Bank of India","89.1","10.9",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150979_328410_07102020032831_WEB.xml"
"MOIL Limited","64.35","35.65",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150981_328427_07102020033610_WEB.xml"
"Dynemic Products Limited","35.81","64.19",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150982_328442_07102020034026_WEB.xml"
"Superhouse Limited","54.88","45.12",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150984_328453_07102020034324_WEB.xml"
"ABM International Limited","74.7","25.31",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150986_328489_07102020035846_WEB.xml"
"Skipper Limited","71.89","28.1",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150988_328508_07102020040801_WEB.xml"
"Hindustan Copper Limited","76.05","23.95",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150989_328533_07102020041229_WEB.xml"
"ICRA Limited","51.87","47.8",,"0.33","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150991_328543_07102020041742_WEB.xml"
"Indoco Remedies Limited","58.69","41.31",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150992_328548_07102020041908_WEB.xml"
"Sambhaav Media Limited","62.93","37.07",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150993_328553_07102020042111_WEB.xml"
"Alembic Pharmaceuticals Limited","69.77","30.23",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150994_328564_07102020042432_WEB.xml"
"Zydus Wellness Limited","64.82","35.18",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150996_328593_07102020043438_WEB.xml"
"BEML Limited","54.03","45.97",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150997_328603_07102020043907_WEB.xml"
"Emami Paper Mills Limited","74.97","25.03",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_150998_328616_07102020044134_WEB.xml"
"TRF Limited","34.12","65.87",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151000_328631_07102020045013_WEB.xml"
"Global Education Limited","72.49","27.51",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151003_328694_07102020051437_WEB.xml"
"Prime Focus Limited","34.96","65.04",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151004_328738_07102020053010_WEB.xml"
"Sadbhav Infrastructure Project Limited","70.28","29.72",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151005_328747_07102020053233_WEB.xml"
"Max India Limited","40.89","59.11",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151007_328789_07102020055013_WEB.xml"
"Shipping Corporation Of India Limited","63.75","36.25",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151008_328809_07102020055627_WEB.xml"
"Aarvi Encon Limited","73.44","26.55",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151009_328814_07102020055708_WEB.xml"
"Hercules Hoists Limited","69.61","30.39",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151010_328822_07102020055802_WEB.xml"
"OnMobile Global Limited","49.23","50.77",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151011_328852_07102020062648_WEB.xml"
"SBI Cards and Payment Services Limited","69.46","30.54",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151012_328889_07102020070421_WEB.xml"
"Dwarikesh Sugar Industries Limited","42.08","57.92",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151013_328891_07102020070457_WEB.xml"
"Britannia Industries Limited","50.58","49.42",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151014_328935_07102020081332_WEB.xml"
"Tata Consultancy Services Limited","72.05","27.95",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151015_328941_07102020085558_WEB.xml"
"Adani Green Energy Limited","74.92","25.08",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151016_328943_07102020090329_WEB.xml"
"ACC Limited","54.53","45.45",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151017_328966_07102020105115_WEB.xml"
"Eimco Elecon (India) Limited","74.06","25.94",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151018_328972_08102020084203_WEB.xml"
"R M Drip and Sprinklers Systems Limited","61","39.01",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151019_328996_08102020100856_WEB.xml"
"Apollo Tyres Limited","41.75","58.25",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151020_329005_08102020101735_WEB.xml"
"Hindustan Zinc Limited","64.92","35.08",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151022_329029_08102020103003_WEB.xml"
"KKV Agro Powers Limited","69.46","30.54",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151027_329050_08102020105003_WEB.xml"
"Jamna Auto Industries Limited","50","50",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151029_329077_08102020110306_WEB.xml"
"Lakshmi Finance & Industrial Corporation Limited","47","52.99",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151030_329081_08102020110425_WEB.xml"
"Milton Industries Limited","72.42","27.58",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151032_329100_08102020111758_WEB.xml"
"Vipul Limited","63.43","36.57",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151033_329118_08102020112356_WEB.xml"
"TD Power Systems Limited","58.57","40.18",,"1.25","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151036_329135_08102020113330_WEB.xml"
"Gangotri Textiles Limited","24.53","75.47",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151037_329137_08102020113458_WEB.xml"
"Bhansali Engineering Polymers Limited","56.45","43.55",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151038_329139_08102020113540_WEB.xml"
"Arman Financial Services Limited","27.51","72.49",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151040_329195_08102020120109_WEB.xml"
"Balaji Amines Limited","53.7","46.3",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151041_329197_08102020120114_WEB.xml"
"Setubandhan Infrastructure Limited","27.42","72.58",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151042_329228_08102020121456_WEB.xml"
"Shalimar Paints Limited","53.1","46.91",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151044_329240_08102020121707_WEB.xml"
"Kuantum Papers Limited","70.3","29.7",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151047_329274_08102020123234_WEB.xml"
"Antarctica Limited","30.78","69.22",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151049_329278_08102020123601_WEB.xml"
"Innovana Thinklabs Limited","73.17","26.84",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151051_329305_08102020124620_WEB.xml"
"Gujarat Ambuja Exports Limited","63.84","36.16",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151052_329321_08102020125507_WEB.xml"
"NACL Industries Limited","63.3","36.7",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151056_329388_08102020012538_WEB.xml"
"NACL Industries Limited","63.3","36.7",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151057_329398_08102020012739_WEB.xml"
"Punjab National Bank","85.59","14.41",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151058_329401_08102020012849_WEB.xml"
"SRF Limited","52.33","47.67",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151060_329412_08102020013532_WEB.xml"
"Cochin Shipyard Limited","72.86","27.14",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151063_329444_08102020015537_WEB.xml"
"Arvee Laboratories (India) Limited","73.5","26.5",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151064_329455_08102020020125_WEB.xml"
"Spectrum Electrical Industries Limited","68.64","31.37",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151065_329462_08102020020649_WEB.xml"
"SKM Egg Products Export (India) Limited","55.09","44.91",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151067_329494_08102020022202_WEB.xml"
"Compuage Infocom Limited","58.33","41.67",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151069_329540_08102020024101_WEB.xml"
"Taj GVK Hotels & Resorts Limited","74.99","25.01",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151071_329554_08102020024921_WEB.xml"
"Euro India Fresh Foods Limited","73.5","26.49",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151073_329565_08102020025235_WEB.xml"
"Fertilizers and Chemicals Travancore Limited","90","10",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151074_329595_08102020025902_WEB.xml"
"Rashtriya Chemicals and Fertilizers Limited","75","25",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151075_329619_08102020030901_WEB.xml"
"TCI Express Limited","66.79","33.21",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151076_329628_08102020031436_WEB.xml"
"Touchwood Entertainment Limited","69.84","30.17",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151080_329637_08102020032257_WEB.xml"
"Radico Khaitan Limited","40.31","59.69",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151081_329655_08102020032448_WEB.xml"
"Abhishek Corporation Limited","57.63","42.37",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151082_329665_08102020032552_WEB.xml"
"Sathavahana Ispat Limited","39.58","60.42",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151084_329689_08102020033347_WEB.xml"
"Shyam Century Ferrous Limited","54.49","45.51",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151085_329709_08102020033744_WEB.xml"
"IFGL Refractories Limited","72.43","27.57",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151086_329710_08102020033746_WEB.xml"
"Huhtamaki PPL Limited","66.94","33.06",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151087_329770_08102020035606_WEB.xml"
"Oberoi Realty Limited","67.7","32.3",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151088_329777_08102020035658_WEB.xml"
"Jyothy Labs Limited","62.89","37.11",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151089_329779_08102020035725_WEB.xml"
"Bharat Heavy Electricals Limited","63.17","36.83",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151090_329786_08102020035915_WEB.xml"
"Aaron Industries Limited","74.98","25.02",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151091_329791_08102020040023_WEB.xml"
"Relaxo Footwears Limited","70.98","29.02",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151093_329814_08102020040538_WEB.xml"
"Talbros Automotive Components Limited","58.16","41.84",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151095_329824_08102020040720_WEB.xml"
"CMM Infraprojects Limited","63.14","36.86",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151097_329856_08102020041446_WEB.xml"
"Larsen & Toubro Infotech Limited","74.36","25.63",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151100_329882_08102020042627_WEB.xml"
"TCNS Clothing Co. Limited","32.33","67.66",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151102_329892_08102020042930_WEB.xml"
"Brightcom Group Limited","36.76","63.24",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151103_329900_08102020043139_WEB.xml"
"Indbank Merchant Banking Services Limited","64.84","35.16",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151104_329899_08102020043138_WEB.xml"
"Alpa Laboratories Limited","56.66","43.34",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151105_329904_08102020043236_WEB.xml"
"PIL ITALICA LIFESTYLE LIMITED","66.12","33.88",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151106_329923_08102020044011_WEB.xml"
"GMM Pfaudler Limited","54.95","45.05",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151108_329963_08102020045738_WEB.xml"
"GHCL Limited","19.27","80.73",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151111_330014_08102020050908_WEB.xml"
"TIPS Industries Limited","75.35","24.66",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151112_330017_08102020050941_WEB.xml"
"PTC India Limited","16.22","83.78",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151113_330048_08102020051711_WEB.xml"
"Seamec Limited","71.96","28.04",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151115_330077_08102020052559_WEB.xml"
"Indo Count Industries Limited","58.94","41.06",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151117_330093_08102020052930_WEB.xml"
"21st Century Management Services Limited","57.37","42.64",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151118_330100_08102020053105_WEB.xml"
"Quick Heal Technologies Limited","72.83","27.17",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151119_330113_08102020053303_WEB.xml"
"OM Metals Infraprojects Limited","71.68","28.32",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151120_330135_08102020053921_WEB.xml"
"Everest Kanto Cylinder Limited","67.39","32.61",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151121_330138_08102020054019_WEB.xml"
"PVR Limited","18.79","81.21",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151122_330183_08102020055111_WEB.xml"
"Revathi Equipment Limited","72.58","27.42",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151123_330219_08102020060218_WEB.xml"
"Cadila Healthcare Limited","74.88","25.12",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151124_330238_08102020060802_WEB.xml"
"Malu Paper Mills Limited","69.95","30.04",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151128_330279_08102020063035_WEB.xml"
"PSP Projects Limited","74.16","25.84",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151129_330290_08102020063531_WEB.xml"
"Elgi Rubber Company Limited","64.91","35.08",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151130_330301_08102020064412_WEB.xml"
"The South Indian Bank Limited","0","100",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151131_330375_08102020071237_WEB.xml"
"MindTree Limited","67.59","32.41",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151132_330379_08102020072141_WEB.xml"
"Jayant Agro Organics Limited","66.36","33.64",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151133_330394_08102020074644_WEB.xml"
"Pilani Investment and Industries Corporation Limited","57.55","42.45",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151134_330396_08102020074845_WEB.xml"
"Persistent Systems Limited","31.29","65.85",,"2.86","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151136_330403_08102020080217_WEB.xml"
"Capri Global Capital Limited","74.94","25.05",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151137_330405_08102020080317_WEB.xml"
