"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING (%)B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT"
"Advanced Enzyme Technologies Limited","111678475","61922236","    55.45","49756239","0","     0.00","     0.00","23-Nov-2020 11:30:31","1178182","111129260","1.06"
"Advani Hotels & Resorts (India) Limited","46219250","23189002","    50.17","23030248","0","     0.00","     0.00","23-Nov-2020 11:30:10","336153","45417830","0.74"
"Aegis Logistics Limited","345333334","202676008","    58.69","142657326","0","     0.00","     0.00","23-Nov-2020 11:30:09","2667625","340142771","0.78"
"Agarwal Industrial Corporation Limited","10258747","6086392","    59.33","4172355","0","     0.00","     0.00","23-Nov-2020 11:30:30","413374","10248342","4.03"
"Agri-Tech (India) Limited","5940000","2700795","    45.47","3239205","0","     0.00","     0.00","23-Nov-2020 11:30:30","94654","5639655","1.68"
"Agro Phos India Limited","20274115","11002425","    54.27","9271690","1000000","     9.09","     4.93","23-Nov-2020 11:30:31","1522192","19799055","7.69"
"Agro Tech Foods Limited","24369264","13326282","    54.68","11042982","0","     0.00","     0.00","23-Nov-2020 11:30:08","908853","24175041","3.76"
"Ahluwalia Contracts (India) Limited","66987560","38855977","    58.00","28131583","15865380","    40.83","    23.68","23-Nov-2020 11:30:27","16112993","66922895","24.08"
"Ajanta Pharma Limited","87261270","61528601","    70.51","25732669","9879855","    16.06","    11.32","23-Nov-2020 11:30:18","10327636","87032217","11.87"
"Ajmera Realty & Infra India Limited","35484875","24111527","    67.95","11373348","1953900","     8.10","     5.51","23-Nov-2020 11:30:26","2805416","35439232","7.92"
"Aksh Optifibre Limited","162697971","45470335","    27.95","117227636","0","     0.00","     0.00","23-Nov-2020 11:30:18","6350969","162203151","3.92"
"Akzo Nobel India Limited","45540314","34044335","    74.76","11495979","0","     0.00","     0.00","23-Nov-2020 11:30:14","253714","44907770","0.56"
"Alankit Limited","142958100","101966776","    71.33","40991324","0","     0.00","     0.00","23-Nov-2020 11:30:31","1053538","141764860","0.74"
"Alchemist Limited","13559800","4738341","    34.94","8821459","0","     0.00","     0.00","23-Nov-2020 11:30:24","225844","12929262","1.75"
"Alembic Limited","256781828","180805962","    70.41","75975866","0","     0.00","     0.00","23-Nov-2020 11:30:17","3490391","252846387","1.38"
"Alembic Pharmaceuticals Limited","196563124","137145948","    69.77","59417176","0","     0.00","     0.00","23-Nov-2020 11:30:29","1843559","194777513","0.95"
"Alicon Castalloy Limited","13910121","8709938","    62.62","5200183","0","     0.00","     0.00","23-Nov-2020 11:30:22","142616","13860499","1.03"
"Alkali Metals Limited","10182506","7090842","    69.64","3091664","2130000","    30.04","    20.92","23-Nov-2020 11:30:26","2215057","10181996","21.75"
"Alkyl Amines Chemicals Limited","20410006","15132788","    74.14","5277218","0","     0.00","     0.00","23-Nov-2020 11:30:16","183343","20036910","0.92"
"Allcargo Logistics Limited","245695524","172022209","    70.01","73673315","0","     0.00","     0.00","23-Nov-2020 11:30:22","3782613","245628234","1.54"
"Allied Digital Services Limited","50205528","24825286","    49.45","25380242","0","     0.00","     0.00","23-Nov-2020 11:30:24","1123194","48665422","2.31"
"Allsec Technologies Limited","15238326","11182912","    73.39","4055414","0","     0.00","     0.00","23-Nov-2020 11:30:20","1185614","15238232","7.78"
"Almondz Global Securities Limited","25884967","14915549","    57.62","10969418","0","     0.00","     0.00","23-Nov-2020 11:30:26","258590","25752179","1"
"Alok Industries Limited","4965240401","3723845177","    75.00","1241395224",,,,"23-Nov-2020 11:30:32","71457193","4962793593","1.44"
"Alpa Laboratories Limited","21040600","11922210","    56.66","9118390","0","     0.00","     0.00","23-Nov-2020 11:30:24","303117","20902395","1.45"
"Alphageo (India) Limited","6364767","2911092","    45.74","3453675","280534","     9.64","     4.41","23-Nov-2020 11:30:24","780307","6278929","12.43"
"Alps Industries Limited","39114100","10586018","    27.06","28528082","4019018","    37.97","    10.28","23-Nov-2020 11:30:15","4625545","39042546","11.85"
"Amara Raja Batteries Limited","170812500","47932452","    28.06","122880048","0","     0.00","     0.00","23-Nov-2020 11:30:09","1016470","167969678","0.61"
"Ambica Agarbathies & Aroma industries Limited","17177430","8304827","    48.35","8872603",,,,"23-Nov-2020 11:30:20","52040","14193081","0.37"
"Ambika Cotton Mills Limited","5725000","2872350","    50.17","2852650","0","     0.00","     0.00","23-Nov-2020 11:30:25","130834","5691981","2.3"
"Ambuja Cements Limited","1985645229","1258122798","    63.36","727522431","0","     0.00","     0.00","23-Nov-2020 11:30:14","4682067","1973558875","0.24"
"Amit Spinning Industries Limited","41169667","20981077","    50.96","20188590","8233934","    39.24","    20.00","23-Nov-2020 11:30:21","8233934","39142447","21.04"
"Amj Land Holdings Limited","41000000","25402165","    61.96","15597835","0","     0.00","     0.00","23-Nov-2020 11:30:14","316237","40268575","0.79"
"Amrutanjan Health Care Limited","29230630","14622110","    50.02","14608520","0","     0.00","     0.00","23-Nov-2020 11:30:26","555111","28025663","1.98"
"Amtek Auto Limited","248255428","130080919","    52.40","118174509","0","     0.00","     0.00","23-Nov-2020 11:30:10","4878233","247947429","1.97"
"Anant Raj Limited","295096335","191623086","    64.94","103473249","0","     0.00","     0.00","23-Nov-2020 11:30:22","8478896","293850701","2.89"
"Andhra Cements Limited","293520492","201926406","    68.79","91594086","15144405","     7.50","     5.16","23-Nov-2020 11:30:28","153402527","284903798","53.84"
"Anik Industries Limited","27753486","13449379","    48.46","14304107","0","     0.00","     0.00","23-Nov-2020 11:30:10","472358","22136427","2.13"
"Ankit Metal & Power Limited","141110500","100215000","    71.02","40895500","100215000","   100.00","    71.02","23-Nov-2020 11:30:30","101059457","141108559","71.62"
"Ansal Housing Limited","59385828","31457930","    52.97","27927898","24303990","    77.26","    40.93","23-Nov-2020 11:30:22","24887366","57497619","43.28"
"Ansal Properties & Infrastructure Limited","157404876","76768484","    48.77","80636392","57883663","    75.40","    36.77","23-Nov-2020 11:30:09","64239192","156787465","40.97"
"Antarctica Limited","155009600","47717296","    30.78","107292304","0","     0.00","     0.00","23-Nov-2020 11:30:16","726549","104505195","0.7"
"Apar Industries Limited","38268619","22885064","    59.80","15383555","0","     0.00","     0.00","23-Nov-2020 11:30:20","490285","38144570","1.29"
"Apcotex Industries Limited","51844960","30132034","    58.12","21712926","0","     0.00","     0.00","23-Nov-2020 11:30:10","1001759","49733380","2.01"
"Apollo Hospitals Enterprise Limited","139125159","42875001","    30.82","96250158","14426976","    33.65","    10.37","23-Nov-2020 11:30:09","14721024","136974431","10.75"
"Apollo Micro Systems Limited","20763886","13276700","    63.94","7487186","800000","     6.03","     3.85","23-Nov-2020 11:30:32","1376979","20753878","6.63"
"Apollo Pipes Limited","13109402","6821400","    52.03","6288002","495000","     7.26","     3.78","23-Nov-2020 11:30:32","849726","13101752","6.49"
"Apollo Sindoori Hotels Limited","2600400","1681882","    64.68","918518","0","     0.00","     0.00","23-Nov-2020 11:30:30","21978","2460888","0.89"
"Apollo Tyres Limited","572049980","238858831","    41.75","333191149","33254080","    13.92","     5.81","23-Nov-2020 11:30:12","35951156","563873780","6.38"
"Aptech Limited","40278160","19717540","    48.95","20560620","0","     0.00","     0.00","23-Nov-2020 11:30:19","2484177","39935929","6.22"
"Archidply Industries Limited","22065000","16034645","    72.67","6030355","0","     0.00","     0.00","23-Nov-2020 11:30:26","342815","21994825","1.56"
"Archies Limited","33780000","20941447","    61.99","12838553","0","     0.00","     0.00","23-Nov-2020 11:30:16","1038258","33595464","3.09"
"Arcotech Limited","105000000","41960144","    39.96","63039856","19154794","    45.65","    18.24","23-Nov-2020 11:30:30","20296606","103660920","19.58"
"Aries Agro Limited","13004339","6847926","    52.66","6156413","0","     0.00","     0.00","23-Nov-2020 11:30:25","329721","12899338","2.56"
"Arihant Foundations & Housing Limited","8600000","3686700","    42.87","4913300","0","     0.00","     0.00","23-Nov-2020 11:30:23","111836","7201520","1.55"
"Aro Granite Industries Limited","15300000","6282856","    41.06","9017144","0","     0.00","     0.00","23-Nov-2020 11:30:24","145286","14954579","0.97"
"Arshiya Limited","258075915","126916225","    49.18","131159690","126916225","   100.00","    49.18","23-Nov-2020 11:30:27","131650751","257555039","51.12"
"Arvind Fashions Limited","98658711","39201557","    39.73","59457154","0","     0.00","     0.00","23-Nov-2020 11:30:32","1447832","98133553","1.48"
"Arvind Limited","258924069","115799622","    44.72","143124447","455000","     0.39","     0.18","23-Nov-2020 11:30:06","7872732","257018166","3.06"
"Arvind SmartSpaces Limited","35553550","20999170","    59.06","14554380","45500","     0.22","     0.13","23-Nov-2020 11:30:31","924566","35291941","2.62"
"Asahi India Glass Limited","243089931","131921528","    54.27","111168403","14659008","    11.11","     6.03","23-Nov-2020 11:30:16","25316426","238867337","10.6"
"Asahi Songwon Colors Limited","12272262","8171307","    66.58","4100955","0","     0.00","     0.00","23-Nov-2020 11:30:29","189237","12270163","1.54"
"Ashapura Intimates Fashion Limited","25211406","3720692","    14.76","21490714","1924631","    51.73","     7.63","23-Nov-2020 11:30:31","2505249","25184590","9.95"
"Ashapura Minechem Limited","86986098","35110126","    40.36","51875972","22740174","    64.77","    26.14","23-Nov-2020 11:30:15","25265174","86717855","29.13"
"Ashima Limited","128453876","78251745","    60.92","50202131","0","     0.00","     0.00","23-Nov-2020 11:30:09","2131172","52474392","4.06"
"Ashok Leyland Limited","2935527276","1524618261","    51.94","1410909015","163200000","    10.70","     5.56","23-Nov-2020 11:30:07","191774251","2923007710","6.56"
"Ashoka Buildcon Limited","280723217","152933177","    54.48","127790040","0","     0.00","     0.00","23-Nov-2020 11:30:28","7293370","280723210","2.6"
"Asian Granito India Limited","30837446","10254904","    33.25","20582542","0","     0.00","     0.00","23-Nov-2020 11:30:24","3927482","30086963","13.05"
"Asian Hotels (East) Limited","11527797","7566120","    65.63","3961677","0","     0.00","     0.00","23-Nov-2020 11:30:27","829029","11347675","7.31"
"Asian Hotels (North) Limited","19453229","11279616","    57.98","8173613","11248016","    99.72","    57.82","23-Nov-2020 11:30:27","1541636","19282872","7.99"
"Asian Paints Limited","959197790","506384654","    52.79","452813136","60071264","    11.86","     6.26","23-Nov-2020 11:30:08","63926585","951747522","6.72"
"Astec LifeSciences Limited","19578355","13697003","    69.96","5881352","0","     0.00","     0.00","23-Nov-2020 11:30:27","1673816","19577849","8.55"
"Astra Microwave Products Limited","86611675","8686174","    10.03","77925501","0","     0.00","     0.00","23-Nov-2020 11:30:20","12362623","86117340","14.36"
"AstraZeneca Pharma India Limited","25000000","18750000","    75.00","6250000","0","     0.00","     0.00","23-Nov-2020 11:30:16","424619","24778663","1.71"
"Astral Poly Technik Limited","150671516","83982322","    55.74","66689194","0","     0.00","     0.00","23-Nov-2020 11:30:24","953630","150662996","0.63"
"Astron Paper & Board Mill Limited","46500000","21358250","    45.93","25141750","3100000","    14.51","     6.67","23-Nov-2020 11:30:32","5890084","46499690","12.67"
"Atcom Technologies Limited","15340000","2163600","    14.10","13176400","1371500","    63.39","     8.94","23-Nov-2020 11:30:15","1492390","14165039","10.54"
