"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"GANECOS","Ganesha Ecosphere Limited","7(2)","HARSH SHARMA","Promoter Group","Equity Shares","67301","0.31",,"9232","2457258","Buy","Equity Shares","76533","0.35","09-Nov-2020","10-Nov-2020","11-Nov-2020","Market Purchase","-","-","0","0","0","0","NSE","-","12-Nov-2020 17:54","https://archives.nseindia.com/corporate/xbrl/IT_1083159_360909_12112020055437_WEB.xml"
"NCLIND","NCL Industries Limited","7(2)","KALIDINDI RAVI","Director","Equity Shares","2554545","5.65",,"27476","3887854","Buy","Equity Shares","2582021","5.71","12-Nov-2020","12-Nov-2020","12-Nov-2020","Market Purchase","-","-","0","0","0","0","NSE","-","12-Nov-2020 17:45","https://archives.nseindia.com/corporate/xbrl/IT_1083157_360877_12112020054522_WEB.xml"
"NCLIND","NCL Industries Limited","7(2)","Madhavi Penumasta","Promoter Group","Equity Shares","90283","0.2",,"970","136770","Buy","Equity Shares","91253","0.2","12-Nov-2020","12-Nov-2020","12-Nov-2020","Market Purchase","-","-","0","0","0","0","NSE","-","12-Nov-2020 17:45","https://archives.nseindia.com/corporate/xbrl/IT_1083157_360877_12112020054522_WEB.xml"
"NCLIND","NCL Industries Limited","7(2)","P R Raju","Promoter Group","Equity Shares","34900","0.08",,"375","53156","Buy","Equity Shares","35275","0.08","12-Nov-2020","12-Nov-2020","12-Nov-2020","Market Purchase","-","-","0","0","0","0","NSE","-","12-Nov-2020 17:45","https://archives.nseindia.com/corporate/xbrl/IT_1083157_360877_12112020054522_WEB.xml"
"NCLIND","NCL Industries Limited","7(2)","Ashven Datla","Director","Equity Shares","1445724","3.2",,"20000","2830000","Buy","Equity Shares","1465724","3.24","12-Nov-2020","12-Nov-2020","12-Nov-2020","Market Purchase","-","-","0","0","0","0","NSE","-","12-Nov-2020 17:45","https://archives.nseindia.com/corporate/xbrl/IT_1083157_360877_12112020054522_WEB.xml"
"NCLIND","NCL Industries Limited","7(2)","V.Sailaja","Promoter Group","Equity Shares","10650","0.02",,"115","16370","Buy","Equity Shares","10765","0.02","12-Nov-2020","12-Nov-2020","12-Nov-2020","Market Purchase","-","-","0","0","0","0","NSE","-","12-Nov-2020 17:45","https://archives.nseindia.com/corporate/xbrl/IT_1083157_360877_12112020054522_WEB.xml"
"NCLIND","NCL Industries Limited","7(2)","NCL holdings (A&S) Ltd","Promoter Group","Equity Shares","1000000","2.21",,"50437","7136542","Sell","Equity Shares","949563","2.1","12-Nov-2020","12-Nov-2020","12-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","12-Nov-2020 17:45","https://archives.nseindia.com/corporate/xbrl/IT_1083157_360877_12112020054522_WEB.xml"
"NCLIND","NCL Industries Limited","7(2)","Bhupatiraju Subba Raju","Promoter Group","Equity Shares","139511","0.31",,"1501","212392","Buy","Equity Shares","141012","0.31","12-Nov-2020","12-Nov-2020","12-Nov-2020","Market Purchase","-","-","0","0","0","0","NSE","-","12-Nov-2020 17:45","https://archives.nseindia.com/corporate/xbrl/IT_1083157_360877_12112020054522_WEB.xml"
"INFY","Infosys Limited","7(2)","Venkateshwaran Ananthakrishnan","Employees/Designated Employees","Equity Shares","5854","0",,"326","357758","Sell","Equity Shares","5528","0","09-Nov-2020","09-Nov-2020","11-Nov-2020","ESOP","-","-","0","0","0","0","NA","-","12-Nov-2020 17:44","https://archives.nseindia.com/corporate/xbrl/IT_1083156_360872_12112020054418_WEB.xml"
"INFY","Infosys Limited","7(2)","Venkateshwaran Ananthakrishnan","Employees/Designated Employees","Equity Shares","5104","0",,"750","822286","Buy","Equity Shares","5854","0","09-Nov-2020","09-Nov-2020","11-Nov-2020","ESOP","-","-","0","0","0","0","NA","-","12-Nov-2020 17:44","https://archives.nseindia.com/corporate/xbrl/IT_1083156_360872_12112020054418_WEB.xml"
"INFY","Infosys Limited","7(2)","Ajay Vij","Employees/Designated Employees","Equity Shares","13632","0",,"2568","2818174","Sell","Equity Shares","11064","0","09-Nov-2020","09-Nov-2020","11-Nov-2020","ESOP","-","-","0","0","0","0","NA","-","12-Nov-2020 17:44","https://archives.nseindia.com/corporate/xbrl/IT_1083156_360872_12112020054418_WEB.xml"
"INFY","Infosys Limited","7(2)","Ajay Vij","Employees/Designated Employees","Equity Shares","9006","0",,"4626","5076665","Buy","Equity Shares","13632","0","09-Nov-2020","09-Nov-2020","11-Nov-2020","ESOP","-","-","0","0","0","0","NA","-","12-Nov-2020 17:44","https://archives.nseindia.com/corporate/xbrl/IT_1083156_360872_12112020054418_WEB.xml"
