,comName,shp,totIssuedShares,totPromoterHolding,percPromoterHolding,totPublicHolding,totPromoterShares,percPromoterShares,percTotShares,disclosureFromDate,numSharesPledged,totDematShares,sharesCollateral,nbfcPromoShare,nbfcNonPromoShare,percSharesPledged,broadcastDt,disclosureToDate,compBroadcastDate
1322,Balkrishna Industries Limited,30-Sep-2020,193317190,112696020,    58.30,80621170,0,     0.00,     0.00,,969064,192481167,0,0,0,0.5,23-Nov-2020 11:30:09,,
1323,Thirumalai Chemicals Limited,30-Sep-2020,102388120,42856321,    41.86,59531799,0,     0.00,     0.00,,4499960,100613240,0,0,0,4.47,23-Nov-2020 11:30:09,,
1324,Indbank Merchant Banking Services Limited,30-Sep-2020,44378200,28773800,    64.84,15604400,0,     0.00,     0.00,,637413,42491068,0,0,0,1.5,23-Nov-2020 11:30:09,,
1325,Ginni Filaments Limited,30-Sep-2020,70650065,44717283,    63.29,25932782,17700000,    39.58,    25.05,,18472218,69787242,0,0,0,26.47,23-Nov-2020 11:30:09,,06-09-2019
1326,Eicher Motors Limited,30-Sep-2020,273229150,134564270,    49.25,138664880,0,     0.00,     0.00,,1142530,270584140,0,0,0,0.42,23-Nov-2020 11:30:09,,
1327,Rajshree Sugars & Chemicals Limited,30-Sep-2020,28167680,13473621,    47.83,14694059,13473621,   100.00,    47.83,,13670910,26073118,0,0,0,52.43,23-Nov-2020 11:30:09,,28-09-2015
1328,GE T&D India Limited,30-Sep-2020,256046535,192034901,    75.00,64011634,0,     0.00,     0.00,,649954,254037804,0,0,0,0.26,23-Nov-2020 11:30:09,,
1329,Birla Cable Limited,30-Sep-2020,30000000,19905743,    66.35,10094257,1250000,     6.28,     4.17,,1851489,28722538,0,0,0,6.45,23-Nov-2020 11:30:09,,
1330,Tata Steel Bsl Limited,30-Sep-2020,1093439768,794428986,    72.65,299010782,0,     0.00,     0.00,,51798559,1092889835,0,0,0,4.74,23-Nov-2020 11:30:09,,
1331,Balrampur Chini Mills Limited,30-Sep-2020,210000000,86545753,    41.21,123454247,0,     0.00,     0.00,,6963982,209175281,0,0,0,3.33,23-Nov-2020 11:30:09,,22-10-2019
1332,Ansal Properties & Infrastructure Limited,30-Sep-2020,157404876,76768484,    48.77,80636392,57883663,    75.40,    36.77,,64239192,156787465,0,0,0,40.97,23-Nov-2020 11:30:09,,30-01-2020
1333,Aegis Logistics Limited,30-Sep-2020,345333334,202676008,    58.69,142657326,0,     0.00,     0.00,,2667625,340142771,0,0,0,0.78,23-Nov-2020 11:30:09,,
1334,Weizmann Limited,30-Sep-2020,17271536,11918435,    69.01,5353101,0,     0.00,     0.00,,41217,16826341,0,0,0,0.24,23-Nov-2020 11:30:09,,
1335,Uttam Galva Steels Limited,30-Sep-2020,142260103,86331124,    60.69,55928979,0,     0.00,     0.00,,2811141,140881875,0,0,0,2,23-Nov-2020 11:30:09,,10-09-2013
1336,Unitech Limited,30-Sep-2020,2616301047,134257674,     5.13,2482043373,5001000,     3.72,     0.19,,93221592,2604217769,0,0,0,3.58,23-Nov-2020 11:30:09,,31-03-2015
1337,Unichem Laboratories Limited,30-Sep-2020,70405750,35861015,    50.93,34544735,0,     0.00,     0.00,,1320072,68341651,0,0,0,1.93,23-Nov-2020 11:30:09,,
1338,AGC Networks Limited,30-Sep-2020,29815103,20554952,    68.94,9260151,2132035,    10.37,     7.15,,2292821,29467468,0,0,0,7.78,23-Nov-2020 11:30:09,,25-02-2019
1339,Tata Metaliks Limited,30-Sep-2020,31577500,18957090,    60.03,12620410,0,     0.00,     0.00,,505631,30359486,0,0,0,1.67,23-Nov-2020 11:30:09,,
1340,Honeywell Automation India Limited,30-Sep-2020,8841523,6631142,    75.00,2210381,0,     0.00,     0.00,,58601,8786684,0,0,0,0.67,23-Nov-2020 11:30:09,,
1341,Jtekt India Limited,30-Sep-2020,244480469,183359997,    75.00,61120472,0,     0.00,     0.00,,7682088,243360024,0,0,0,3.16,23-Nov-2020 11:30:09,,
1342,Rane Holdings Limited,30-Sep-2020,14277809,6621189,    46.37,7656620,0,     0.00,     0.00,,166370,14114067,0,0,0,1.18,23-Nov-2020 11:30:09,,
1343,Precot Meridian Limited,30-Sep-2020,12000000,7365765,    61.38,4634235,6120000,    83.09,    51.00,,98260,11576383,0,0,0,0.85,23-Nov-2020 11:30:09,,29-05-2018
1344,Tata Elxsi Limited,30-Sep-2020,62276440,27730264,    44.53,34546176,0,     0.00,     0.00,,2178657,60441176,0,0,0,3.6,23-Nov-2020 11:30:09,,
1345,Sun Pharmaceutical Industries Limited,30-Sep-2020,2399334970,1312134535,    54.69,1087200435,119281942,     9.09,     4.97,,191078568,2391323453,0,0,0,7.99,23-Nov-2020 11:30:09,30-Sep-2020,31-10-2019
1346,Kohinoor Foods Limited,30-Sep-2020,37071530,20225240,    54.56,16846290,0,     0.00,     0.00,,252456,34814359,0,0,0,0.73,23-Nov-2020 11:30:09,,
1347,Sathavahana Ispat Limited,30-Sep-2020,50900000,20145336,    39.58,30754664,4537831,    22.53,     8.92,,5105847,49006091,0,0,0,10.42,23-Nov-2020 11:30:09,,
1348,Oil Country Tubular Limited,30-Sep-2020,44289530,21799431,    49.22,22490099,14489000,    66.47,    32.71,,15422872,42882918,0,0,0,35.97,23-Nov-2020 11:30:09,,16-11-2018
1349,Shreyans Industries Limited,30-Sep-2020,13824550,6985219,    50.53,6839331,0,     0.00,     0.00,,257126,13341672,0,0,0,1.93,23-Nov-2020 11:30:09,,13-09-2013
1350,Shalimar Paints Limited,30-Sep-2020,54300259,28830828,    53.10,25469431,0,     0.00,     0.00,,1759457,54076824,0,0,0,3.25,23-Nov-2020 11:30:09,,
