,SYMBOL,COMPANY,REGULATION,NAME OF THE ACQUIRER/DISPOSER,CATEGORY OF PERSON,TYPE OF SECURITY (PRIOR),NO. OF SECURITY (PRIOR),% SHAREHOLDING (PRIOR),TYPE OF SECURITY (ACQUIRED/DISPLOSED),NO. OF SECURITIES (ACQUIRED/DISPLOSED),VALUE OF SECURITY (ACQUIRED/DISPLOSED),ACQUISITION/DISPOSAL TRANSACTION TYPE,TYPE OF SECURITY (POST),NO. OF SECURITY (POST),% POST,DATE OF ALLOTMENT/ACQUISITION FROM,DATE OF ALLOTMENT/ACQUISITION TO,DATE OF INITMATION TO COMPANY,MODE OF ACQUISITION,DERIVATIVE TYPE SECURITY,DERIVATIVE CONTRACT SPECIFICATION,NOTIONAL VALUE(BUY),NUMBER OF UNITS/CONTRACT LOT SIZE (BUY),NOTIONAL VALUE(SELL),NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL),EXCHANGE,REMARK,BROADCASTE DATE AND TIME,XBRL
3698,JUSTDIAL,Just Dial Limited,7(2),Eshwary Krishnan,Promoter Group,Equity Shares,189647,0.31,,30000,0,Buy,Equity Shares,219647,0.36,29-Sep-2020,29-Sep-2020,01-Oct-2020,Gift,-,-,0,0,0,0,,-,05-Oct-2020 22:51,https://archives.nseindia.com/corporate/xbrl/IT_1081586_326882_05102020105158_WEB.xml
3699,JUSTDIAL,Just Dial Limited,7(2),V. Krishnan,Promoters,Equity Shares,450353,0.73,,30000,0,Sell,Equity Shares,420353,0.68,29-Sep-2020,29-Sep-2020,30-Sep-2020,Gift,-,-,0,0,0,0,,-,05-Oct-2020 22:51,https://archives.nseindia.com/corporate/xbrl/IT_1081586_326882_05102020105158_WEB.xml
3700,JUSTDIAL,Just Dial Limited,7(2),V. Krishnan,Promoters,Equity Shares,450353,0.73,,65000,24466000,Pledge,Equity Shares,450353,0.73,28-Sep-2020,28-Sep-2020,30-Sep-2020,Pledge Creation,-,-,0,0,0,0,,-,05-Oct-2020 22:51,https://archives.nseindia.com/corporate/xbrl/IT_1081586_326882_05102020105158_WEB.xml
3701,DHANI,Dhani Services Limited,7(2),Udaan Employee Welfare Trust (earlier known as Indiabulls Ventures Limited - Employees Welfare Trust),Other,Equity Shares,17410807,3.02,,2289193,557367860,Buy,Equity Shares,19700000,3.27,28-Sep-2020,30-Sep-2020,30-Sep-2020,Market Purchase,-,-,0,0,0,0,NSE,-,05-Oct-2020 20:22,https://archives.nseindia.com/corporate/xbrl/IT_1081584_326862_05102020082221_WEB.xml
3702,TECHM,Tech Mahindra Limited,7(2),BHUPATHI RAJU LAKKAMRAJU,Employees/Designated Employees,Equity Shares,2612,0.0,,10000,5502300,Buy,Equity Shares,12612,0.0,30-Sep-2020,30-Sep-2020,01-Oct-2020,ESOP,-,-,0,0,0,0,,-,05-Oct-2020 20:20,https://archives.nseindia.com/corporate/xbrl/IT_1081582_326859_05102020082024_WEB.xml
3703,TECHM,Tech Mahindra Limited,7(2),Genevieve Lobo,Employees/Designated Employees,Equity Shares,1100,0.0,,3000,2244600,Buy,Equity Shares,4100,0.0,30-Sep-2020,30-Sep-2020,01-Oct-2020,ESOP,-,-,0,0,0,0,,-,05-Oct-2020 20:20,https://archives.nseindia.com/corporate/xbrl/IT_1081582_326859_05102020082024_WEB.xml
3704,DHANI,Dhani Services Limited,7(2),Udaan Employee Welfare Trust (earlier known as Indiabulls Ventures Limited - Employees Welfare Trust),Other,Equity Shares,17410807,3.02,,2289193,557367860,Buy,Equity Shares,19700000,3.27,28-Sep-2020,30-Sep-2020,30-Sep-2020,Market Purchase,-,-,0,0,0,0,NSE,-,05-Oct-2020 20:16,https://archives.nseindia.com/corporate/xbrl/IT_1081580_326856_05102020081615_WEB.xml
3705,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,7(2),Vinod H,Employees/Designated Employees,Equity Shares,38242,0.0,,28342,11757679,Pledge,Equity Shares,38242,0.0,25-Sep-2020,25-Sep-2020,05-Oct-2020,Pledge Creation,-,-,0,0,0,0,,-,05-Oct-2020 20:13,https://archives.nseindia.com/corporate/xbrl/IT_1081578_326852_05102020081302_WEB.xml
3706,OPTOCIRCUI,Opto Circuits (India) Limited,7(2),JAYESH C PATEL,Promoters,Equity Shares,8769718,2.92,,326747,1748752,Sell,Equity Shares,8442971,2.81,29-Sep-2020,30-Sep-2020,01-Oct-2020,Market Sale,-,-,0,0,0,0,NSE,-,05-Oct-2020 20:01,https://archives.nseindia.com/corporate/xbrl/IT_1081576_326846_05102020080152_WEB.xml
3707,DRREDDY,Dr. Reddy's Laboratories Limited,7(2),Arun Gupta,Employees/Designated Employees,Equity Shares,775,0.0,,500,2586787,Sell,Equity Shares,275,0.0,30-Sep-2020,30-Sep-2020,05-Oct-2020,Market Sale,-,-,0,0,0,0,NSE,-,05-Oct-2020 19:24,https://archives.nseindia.com/corporate/xbrl/IT_1081574_326839_05102020072414_WEB.xml
