,SYMBOL,COMPANY,REGULATION,NAME OF THE ACQUIRER/DISPOSER,CATEGORY OF PERSON,TYPE OF SECURITY (PRIOR),NO. OF SECURITY (PRIOR),% SHAREHOLDING (PRIOR),TYPE OF SECURITY (ACQUIRED/DISPLOSED),NO. OF SECURITIES (ACQUIRED/DISPLOSED),VALUE OF SECURITY (ACQUIRED/DISPLOSED),ACQUISITION/DISPOSAL TRANSACTION TYPE,TYPE OF SECURITY (POST),NO. OF SECURITY (POST),% POST,DATE OF ALLOTMENT/ACQUISITION FROM,DATE OF ALLOTMENT/ACQUISITION TO,DATE OF INITMATION TO COMPANY,MODE OF ACQUISITION,DERIVATIVE TYPE SECURITY,DERIVATIVE CONTRACT SPECIFICATION,NOTIONAL VALUE(BUY),NUMBER OF UNITS/CONTRACT LOT SIZE (BUY),NOTIONAL VALUE(SELL),NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL),EXCHANGE,REMARK,BROADCASTE DATE AND TIME,XBRL
0,DMART,Avenue Supermarts Limited,7(2),Abhay Yeshwant Bhave,Employees/Designated Employees,Equity Shares,162648,0.02,,1450,3432500,Sell,Equity Shares,161198,0.02,18-Nov-2020,19-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,22-Nov-2020 14:50,https://archives.nseindia.com/corporate/xbrl/IT_1084080_365551_22112020025025_WEB.xml
1,DMART,Avenue Supermarts Limited,7(2),Abhay Yeshwant Bhave,Employees/Designated Employees,Equity Shares,161198,0.02,,750,1821268,Sell,Equity Shares,160448,0.02,20-Nov-2020,20-Nov-2020,21-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,22-Nov-2020 14:50,https://archives.nseindia.com/corporate/xbrl/IT_1084080_365551_22112020025025_WEB.xml
2,ADFFOODS,ADF Foods Limited,7(2),Priyanka Bhavesh Thakkar,Promoters,Equity Shares,121000,0.6,,4782,2219489,Sell,Equity Shares,116218,0.58,18-Nov-2020,19-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,22-Nov-2020 13:45,https://archives.nseindia.com/corporate/xbrl/IT_1084078_365545_22112020014547_WEB.xml
3,MADHAV,Madhav Marbles and Granites Limited,7(2),MADHAV DOSHI,Director,Equity Shares,774698,8.65,,4184,122682,Buy,Equity Shares,778882,8.7,19-Nov-2020,19-Nov-2020,20-Nov-2020,Market Purchase,-,-,0,0,0,0,BSE,-,21-Nov-2020 22:52,https://archives.nseindia.com/corporate/xbrl/IT_1084076_365542_21112020105237_WEB.xml
4,MADHAV,Madhav Marbles and Granites Limited,7(2),MADHAV DOSHI,Director,Equity Shares,778882,8.7,,4837,140970,Buy,Equity Shares,783719,8.75,20-Nov-2020,20-Nov-2020,20-Nov-2020,Market Purchase,-,-,0,0,0,0,BSE,-,21-Nov-2020 22:52,https://archives.nseindia.com/corporate/xbrl/IT_1084076_365542_21112020105237_WEB.xml
5,DISHTV,Dish TV India Limited,7(2),World Crest Advisors LLP,Promoters,Equity Shares,10402100,0.56,,2500000,25625000,Pledge Invoke,Equity Shares,7902100,0.43,18-Nov-2020,18-Nov-2020,20-Nov-2020,Invocation of pledge,-,-,0,0,0,0,,-,21-Nov-2020 22:28,https://archives.nseindia.com/corporate/xbrl/IT_1084074_365539_21112020102825_WEB.xml
6,MEP,MEP Infrastructure Developers Limited,7(2),Anuya J.Mhaiskar,Promoter Group,Equity Shares,17023997,9.28,,3158000,44843600,Pledge Revoke,Equity Shares,17023997,9.28,20-Nov-2020,20-Nov-2020,21-Nov-2020,Revokation of Pledge,-,-,0,0,0,0,,-,21-Nov-2020 22:21,https://archives.nseindia.com/corporate/xbrl/IT_1084072_365536_21112020102133_WEB.xml
7,MEP,MEP Infrastructure Developers Limited,7(2),Jayant D. Mhaiskar,Promoters,Equity Shares,14358526,7.83,,300198,4262812,Pledge Revoke,Equity Shares,14358526,7.83,20-Nov-2020,20-Nov-2020,21-Nov-2020,Revokation of Pledge,-,-,0,0,0,0,,-,21-Nov-2020 22:10,https://archives.nseindia.com/corporate/xbrl/IT_1084070_365533_21112020101058_WEB.xml
8,ZEEMEDIA,Zee Media Corporation Limited,7(2),Arm Infra & Utilities Private Limited,Promoters,Equity Shares,55133103,11.71,,12488667,59321168,Pledge Invoke,Equity Shares,42644436,9.06,18-Nov-2020,18-Nov-2020,20-Nov-2020,Invocation of pledge,-,-,0,0,0,0,,-,21-Nov-2020 22:10,https://archives.nseindia.com/corporate/xbrl/IT_1084069_365531_21112020101013_WEB.xml
9,MEP,MEP Infrastructure Developers Limited,7(2),Ideal Toll & Infrastructure Private Limited,Promoters,Equity Shares,29940407,16.32,,1000000,14200000,Pledge Revoke,Equity Shares,29940407,16.32,20-Nov-2020,20-Nov-2020,21-Nov-2020,Revokation of Pledge,-,-,0,0,0,0,,-,21-Nov-2020 21:38,https://archives.nseindia.com/corporate/xbrl/IT_1084066_365527_21112020093829_WEB.xml
10,HSCL,Himadri Speciality Chemical Limited,7(2),Sushila Devi Choudhary,Promoters,Equity Shares,850000,0.2,,850000,35444704,Sell,Equity Shares,Nil,0.0,20-Nov-2020,20-Nov-2020,21-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 20:41,https://archives.nseindia.com/corporate/xbrl/IT_1084065_365524_21112020084130_WEB.xml
11,HSCL,Himadri Speciality Chemical Limited,7(2),Kanta Devi Choudhary,Promoters,Equity Shares,822850,0.2,,822850,33817289,Sell,Equity Shares,Nil,0.0,20-Nov-2020,20-Nov-2020,21-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 20:41,https://archives.nseindia.com/corporate/xbrl/IT_1084065_365524_21112020084130_WEB.xml
12,HSCL,Himadri Speciality Chemical Limited,7(2),Saroj Devi Choudhary,Promoters,Equity Shares,822850,0.2,,822850,33836440,Sell,Equity Shares,Nil,0.0,20-Nov-2020,20-Nov-2020,21-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 20:41,https://archives.nseindia.com/corporate/xbrl/IT_1084065_365524_21112020084130_WEB.xml
13,INDIGO,InterGlobe Aviation Limited,7(2),Ashim Kumar Mittra,Employees/Designated Employees,Equity Shares,44035,0.01,,1186,1956900,Sell,Equity Shares,42849,0.01,18-Nov-2020,18-Nov-2020,19-Nov-2020,Market Sale,-,-,0,0,0,0,"BSE,NSE",-,21-Nov-2020 19:32,https://archives.nseindia.com/corporate/xbrl/IT_1084063_365518_21112020073234_WEB.xml
14,INDIGO,InterGlobe Aviation Limited,7(2),Sanjay Kumar,Employees/Designated Employees,Equity Shares,115343,0.03,,20000,34112860,Sell,Equity Shares,95343,0.02,18-Nov-2020,20-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,"BSE,NSE",-,21-Nov-2020 19:32,https://archives.nseindia.com/corporate/xbrl/IT_1084063_365518_21112020073234_WEB.xml
15,GSCLCEMENT,Gujarat Sidhee Cement Limited,7(2),HARISHCHANDRA  JOSHI,Employees/Designated Employees,Equity Shares,33430,0.0,,33430,1004906,Sell,Equity Shares,Nil,0.0,12-Nov-2020,12-Nov-2020,19-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 19:21,https://archives.nseindia.com/corporate/xbrl/IT_1084061_365515_21112020072126_WEB.xml
16,KARURVYSYA,Karur Vysya Bank Limited,7(2),S NIRUPAMA,Promoter Group,Equity Shares,478740,0.06,,6700,241455,Buy,Equity Shares,485440,0.06,19-Nov-2020,20-Nov-2020,21-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,21-Nov-2020 19:02,https://archives.nseindia.com/corporate/xbrl/IT_1084059_365512_21112020070232_WEB.xml
17,GANECOS,Ganesha Ecosphere Limited,7(2),HARSH SHARMA,Promoter Group,Equity Shares,76533,0.35,,4055,1176917,Buy,Equity Shares,80588,0.37,14-Nov-2020,19-Nov-2020,20-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,21-Nov-2020 18:34,https://archives.nseindia.com/corporate/xbrl/IT_1084057_365509_21112020063436_WEB.xml
18,GANECOS,Ganesha Ecosphere Limited,7(2),HEMANT SHARMA,Promoter Group,Equity Shares,62062,0.28,,3818,1107463,Buy,Equity Shares,65880,0.3,17-Nov-2020,19-Nov-2020,20-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,21-Nov-2020 18:34,https://archives.nseindia.com/corporate/xbrl/IT_1084057_365509_21112020063436_WEB.xml
19,GANECOS,Ganesha Ecosphere Limited,7(2),Sandeep Khandelwal,Promoter Group,Equity Shares,157864,0.72,,8780,2616310,Buy,Equity Shares,166644,0.76,18-Nov-2020,19-Nov-2020,20-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,21-Nov-2020 18:34,https://archives.nseindia.com/corporate/xbrl/IT_1084057_365509_21112020063436_WEB.xml
20,GEEKAYWIRE,Geekay Wires Limited,7(2),RENU KANDOI,Immediate relative,Equity Shares,404397,3.87,,2510,156404,Buy,Equity Shares,406907,3.89,19-Nov-2020,20-Nov-2020,20-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,21-Nov-2020 18:17,https://archives.nseindia.com/corporate/xbrl/IT_1084055_365506_21112020061725_WEB.xml
21,GEEKAYWIRE,Geekay Wires Limited,7(2),KANDOI INDUSTRIES INDIA PRIVATE LIMITED,Promoters,Equity Shares,2257580,21.6,,20432,1273980,Sell,Equity Shares,2237148,21.4,18-Nov-2020,20-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 18:17,https://archives.nseindia.com/corporate/xbrl/IT_1084055_365506_21112020061725_WEB.xml
22,POLYCAB,Polycab India Limited,7(2),Suresh Kumar,Employees/Designated Employees,Equity Shares,6750,0.0,,5744,5341092,Sell,Equity Shares,1006,0.0,17-Nov-2020,19-Nov-2020,19-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 18:13,https://archives.nseindia.com/corporate/xbrl/IT_1084054_365502_21112020061303_WEB.xml
23,POLYCAB,Polycab India Limited,7(2),Sandeep Bhargava,Employees/Designated Employees,Equity Shares,6750,0.0,,3750,3526077,Sell,Equity Shares,3000,0.0,19-Nov-2020,19-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,BSE,-,21-Nov-2020 18:13,https://archives.nseindia.com/corporate/xbrl/IT_1084054_365502_21112020061303_WEB.xml
24,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Deepak Reddy,Employees/Designated Employees,Equity Shares,3100,0.0,,30000,13444800,Buy,Equity Shares,33100,0.0,20-Nov-2020,20-Nov-2020,20-Nov-2020,ESOP,-,-,0,0,0,0,,-,21-Nov-2020 17:56,https://archives.nseindia.com/corporate/xbrl/IT_1084051_365491_21112020055615_WEB.xml
25,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Anand Kumar,Employees/Designated Employees,Equity Shares,13790,0.0,,10875,51112500,Pledge,Equity Shares,13790,0.0,20-Nov-2020,20-Nov-2020,20-Nov-2020,Pledge Creation,-,-,0,0,0,0,,-,21-Nov-2020 17:56,https://archives.nseindia.com/corporate/xbrl/IT_1084051_365491_21112020055615_WEB.xml
26,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Deepak Reddy,Employees/Designated Employees,Equity Shares,43050,0.0,,20430,92631663,Pledge,Equity Shares,43050,0.0,20-Nov-2020,20-Nov-2020,20-Nov-2020,Pledge Creation,-,-,0,0,0,0,,-,21-Nov-2020 17:56,https://archives.nseindia.com/corporate/xbrl/IT_1084051_365491_21112020055615_WEB.xml
27,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Ashish Panchal,Employees/Designated Employees,Equity Shares,6175,0.0,,1070,4851380,Pledge,Equity Shares,6175,0.0,20-Nov-2020,20-Nov-2020,20-Nov-2020,Pledge Creation,-,-,0,0,0,0,,-,21-Nov-2020 17:56,https://archives.nseindia.com/corporate/xbrl/IT_1084051_365491_21112020055615_WEB.xml
28,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Anand Kumar,Employees/Designated Employees,Equity Shares,13790,0.0,,4370,22306680,Pledge Revoke,Equity Shares,13790,0.0,20-Nov-2020,20-Nov-2020,20-Nov-2020,Revokation of Pledge,-,-,0,0,0,0,,-,21-Nov-2020 17:56,https://archives.nseindia.com/corporate/xbrl/IT_1084051_365491_21112020055615_WEB.xml
29,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Anand Kumar,Employees/Designated Employees,Equity Shares,13790,0.0,,4730,22305592,Sell,Equity Shares,9060,0.0,20-Nov-2020,20-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 17:56,https://archives.nseindia.com/corporate/xbrl/IT_1084051_365491_21112020055615_WEB.xml
30,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Atul Jain,Employees/Designated Employees,Equity Shares,41100,0.0,,2000,9470000,Sell,Equity Shares,39100,0.0,20-Nov-2020,20-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 17:56,https://archives.nseindia.com/corporate/xbrl/IT_1084051_365491_21112020055615_WEB.xml
31,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Vivek Likhite,Employees/Designated Employees,Equity Shares,49250,0.0,,500,2364545,Sell,Equity Shares,48750,0.0,20-Nov-2020,20-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 17:56,https://archives.nseindia.com/corporate/xbrl/IT_1084051_365491_21112020055615_WEB.xml
32,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Jayant Kothare,Employees/Designated Employees,Equity Shares,500,0.0,,250,1187500,Sell,Equity Shares,250,0.0,20-Nov-2020,20-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 17:56,https://archives.nseindia.com/corporate/xbrl/IT_1084051_365491_21112020055615_WEB.xml
33,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Anand Kumar,Employees/Designated Employees,Equity Shares,9060,0.0,,6145,28979820,Pledge Revoke,Equity Shares,9060,0.0,20-Nov-2020,20-Nov-2020,20-Nov-2020,Revokation of Pledge,-,-,0,0,0,0,,-,21-Nov-2020 17:56,https://archives.nseindia.com/corporate/xbrl/IT_1084051_365491_21112020055615_WEB.xml
34,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Francis Sain Jobai,Employees/Designated Employees,Equity Shares,5150,0.0,,5150,23607600,Pledge Revoke,Equity Shares,5150,0.0,20-Nov-2020,20-Nov-2020,20-Nov-2020,Revokation of Pledge,-,-,0,0,0,0,,-,21-Nov-2020 17:56,https://archives.nseindia.com/corporate/xbrl/IT_1084051_365491_21112020055615_WEB.xml
35,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Manav Mianwal,Employees/Designated Employees,Equity Shares,5130,0.0,,1000,4727060,Sell,Equity Shares,4130,0.0,20-Nov-2020,20-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 17:56,https://archives.nseindia.com/corporate/xbrl/IT_1084051_365491_21112020055615_WEB.xml
36,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Manav Mianwal,Employees/Designated Employees,Equity Shares,4130,0.0,,1000,1919950,Buy,Equity Shares,5130,0.0,20-Nov-2020,20-Nov-2020,20-Nov-2020,ESOP,-,-,0,0,0,0,,-,21-Nov-2020 17:56,https://archives.nseindia.com/corporate/xbrl/IT_1084051_365491_21112020055615_WEB.xml
37,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Ashish Panchal,Employees/Designated Employees,Equity Shares,6175,0.0,,1070,5045960,Pledge Revoke,Equity Shares,6175,0.0,20-Nov-2020,20-Nov-2020,20-Nov-2020,Revokation of Pledge,-,-,0,0,0,0,,-,21-Nov-2020 17:56,https://archives.nseindia.com/corporate/xbrl/IT_1084051_365491_21112020055615_WEB.xml
38,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Ashish Panchal,Employees/Designated Employees,Equity Shares,6175,0.0,,1070,5045960,Sell,Equity Shares,5105,0.0,20-Nov-2020,20-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 17:56,https://archives.nseindia.com/corporate/xbrl/IT_1084051_365491_21112020055615_WEB.xml
39,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Ashish Panchal,Employees/Designated Employees,Equity Shares,5105,0.0,,5105,24096468,Sell,Equity Shares,Nil,0.0,20-Nov-2020,20-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 17:56,https://archives.nseindia.com/corporate/xbrl/IT_1084051_365491_21112020055615_WEB.xml
40,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Deepak Reddy,Employees/Designated Employees,Equity Shares,43050,0.0,,20430,96347880,Pledge Revoke,Equity Shares,43050,0.0,20-Nov-2020,20-Nov-2020,21-Nov-2020,Revokation of Pledge,-,-,0,0,0,0,,-,21-Nov-2020 17:56,https://archives.nseindia.com/corporate/xbrl/IT_1084051_365491_21112020055615_WEB.xml
41,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Deepak Reddy,Employees/Designated Employees,Equity Shares,43050,0.0,,20430,96339299,Sell,Equity Shares,22620,0.0,20-Nov-2020,20-Nov-2020,21-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 17:56,https://archives.nseindia.com/corporate/xbrl/IT_1084051_365491_21112020055615_WEB.xml
42,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Deepak Reddy,Employees/Designated Employees,Equity Shares,22620,0.0,,19520,91979997,Sell,Equity Shares,3100,0.0,20-Nov-2020,20-Nov-2020,21-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 17:56,https://archives.nseindia.com/corporate/xbrl/IT_1084051_365491_21112020055615_WEB.xml
43,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Francis Sain Jobai,Employees/Designated Employees,Equity Shares,5150,0.0,,5150,23607600,Sell,Equity Shares,Nil,0.0,20-Nov-2020,20-Nov-2020,21-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 17:56,https://archives.nseindia.com/corporate/xbrl/IT_1084051_365491_21112020055615_WEB.xml
44,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Anand Kumar,Employees/Designated Employees,Equity Shares,2915,0.0,,10875,8323399,Buy,Equity Shares,13790,0.0,20-Nov-2020,20-Nov-2020,20-Nov-2020,ESOP,-,-,0,0,0,0,,-,21-Nov-2020 17:56,https://archives.nseindia.com/corporate/xbrl/IT_1084051_365491_21112020055615_WEB.xml
45,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Ashish Panchal,Employees/Designated Employees,Equity Shares,Nil,0.0,,6175,18541981,Buy,Equity Shares,6175,0.0,20-Nov-2020,20-Nov-2020,20-Nov-2020,ESOP,-,-,0,0,0,0,,-,21-Nov-2020 17:56,https://archives.nseindia.com/corporate/xbrl/IT_1084051_365491_21112020055615_WEB.xml
46,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Deepak Reddy,Employees/Designated Employees,Equity Shares,33100,0.0,,9950,13410113,Buy,Equity Shares,43050,0.0,20-Nov-2020,20-Nov-2020,20-Nov-2020,ESOP,-,-,0,0,0,0,,-,21-Nov-2020 17:56,https://archives.nseindia.com/corporate/xbrl/IT_1084051_365491_21112020055615_WEB.xml
47,HDFCBANK,HDFC Bank Limited,7(2),Arup Kumar Rakshit,Employees/Designated Employees,Equity Shares,322098,0.01,,2000,2800000,Sell,Equity Shares,320098,0.01,20-Nov-2020,20-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 16:46,https://archives.nseindia.com/corporate/xbrl/IT_1084050_365478_21112020044642_WEB.xml
48,HDFCBANK,HDFC Bank Limited,7(2),Amit Kumar Singh,Employees/Designated Employees,Equity Shares,59000,0.0,,1000,1410000,Sell,Equity Shares,58000,0.0,17-Nov-2020,17-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 16:46,https://archives.nseindia.com/corporate/xbrl/IT_1084050_365478_21112020044642_WEB.xml
49,HDFCBANK,HDFC Bank Limited,7(2),Sameer Agrawal,Employees/Designated Employees,Equity Shares,57981,0.0,,1000,1403000,Sell,Equity Shares,56981,0.0,17-Nov-2020,17-Nov-2020,19-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 16:46,https://archives.nseindia.com/corporate/xbrl/IT_1084050_365478_21112020044642_WEB.xml
50,HDFCBANK,HDFC Bank Limited,7(2),Lopa Ruparel,Employees/Designated Employees,Equity Shares,46000,0.0,,2000,2827822,Sell,Equity Shares,44000,0.0,18-Nov-2020,18-Nov-2020,19-Nov-2020,Market Sale,-,-,0,0,0,0,BSE,-,21-Nov-2020 16:46,https://archives.nseindia.com/corporate/xbrl/IT_1084050_365478_21112020044642_WEB.xml
51,HDFCBANK,HDFC Bank Limited,7(2),Deepak Kumar Mohanty,Employees/Designated Employees,Equity Shares,13000,0.0,,1000,1386011,Sell,Equity Shares,12000,0.0,19-Nov-2020,19-Nov-2020,19-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 16:46,https://archives.nseindia.com/corporate/xbrl/IT_1084050_365478_21112020044642_WEB.xml
52,HDFCBANK,HDFC Bank Limited,7(2),Jimmy Tata,Employees/Designated Employees,Equity Shares,1823750,0.03,,7000,9816450,Sell,Equity Shares,1816750,0.03,20-Nov-2020,20-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 16:46,https://archives.nseindia.com/corporate/xbrl/IT_1084050_365478_21112020044642_WEB.xml
53,HDFCBANK,HDFC Bank Limited,7(2),Bindumadhav P Tikekar,Employees/Designated Employees,Equity Shares,276570,0.01,,750,1059375,Sell,Equity Shares,275820,0.01,17-Nov-2020,18-Nov-2020,19-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 16:46,https://archives.nseindia.com/corporate/xbrl/IT_1084050_365478_21112020044642_WEB.xml
54,HDFCBANK,HDFC Bank Limited,7(2),Asmita Paras Gada,Employees/Designated Employees,Equity Shares,64200,0.0,,1000,1409000,Sell,Equity Shares,63200,0.0,17-Nov-2020,17-Nov-2020,19-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 16:46,https://archives.nseindia.com/corporate/xbrl/IT_1084050_365478_21112020044642_WEB.xml
55,HDFCBANK,HDFC Bank Limited,7(2),Asmita Paras Gada,Employees/Designated Employees,Equity Shares,63200,0.0,,16000,22544000,Pledge Revoke,Equity Shares,63200,0.0,18-Nov-2020,18-Nov-2020,19-Nov-2020,Revokation of Pledge,-,-,0,0,0,0,,-,21-Nov-2020 16:46,https://archives.nseindia.com/corporate/xbrl/IT_1084050_365478_21112020044642_WEB.xml
56,HDFCBANK,HDFC Bank Limited,7(2),Ashish Parthasarthy,Employees/Designated Employees,Equity Shares,447944,0.01,,40000,56380304,Sell,Equity Shares,407944,0.01,18-Nov-2020,18-Nov-2020,19-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 16:46,https://archives.nseindia.com/corporate/xbrl/IT_1084050_365478_21112020044642_WEB.xml
57,HDFCBANK,HDFC Bank Limited,7(2),Benjamin Frank,Employees/Designated Employees,Equity Shares,308580,0.01,,2000,2834000,Sell,Equity Shares,306580,0.01,18-Nov-2020,18-Nov-2020,19-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 16:46,https://archives.nseindia.com/corporate/xbrl/IT_1084050_365478_21112020044642_WEB.xml
58,MITTAL,Mittal Life Style Limited,7(2),J.K. DENIM FAB PRIVATE LIMITED,Promoter Group,Equity Shares,3601746,30.65,,20000,348000,Sell,Equity Shares,3581746,30.48,20-Nov-2020,20-Nov-2020,21-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 16:37,https://archives.nseindia.com/corporate/xbrl/IT_1084048_365475_21112020043716_WEB.xml
59,MITTAL,Mittal Life Style Limited,7(2),J.K. DENIM FAB PRIVATE LIMITED,Promoter Group,Equity Shares,3616746,30.78,,15000,249000,Sell,Equity Shares,3601746,30.65,19-Nov-2020,19-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 16:37,https://archives.nseindia.com/corporate/xbrl/IT_1084048_365475_21112020043716_WEB.xml
60,ICICIBANK,ICICI Bank Limited,7(2),HITESH SETHIA,Employees/Designated Employees,Equity Shares,64026,0.0,,27440,13032081,Sell,Equity Shares,36586,0.0,20-Nov-2020,20-Nov-2020,21-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 16:28,https://archives.nseindia.com/corporate/xbrl/IT_1084047_365472_21112020042836_WEB.xml
61,ICICIBANK,ICICI Bank Limited,7(2),Rakesh Suvarna,Employees/Designated Employees,Equity Shares,36000,0.0,,10000,4978038,Sell,Equity Shares,26000,0.0,18-Nov-2020,18-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 16:28,https://archives.nseindia.com/corporate/xbrl/IT_1084047_365472_21112020042836_WEB.xml
62,ICICIBANK,ICICI Bank Limited,7(2),PRATAP SINGH,Employees/Designated Employees,Equity Shares,10634,0.0,,3000,1458000,Sell,Equity Shares,7634,0.0,18-Nov-2020,18-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 16:28,https://archives.nseindia.com/corporate/xbrl/IT_1084047_365472_21112020042836_WEB.xml
63,MAHSEAMLES,Maharashtra Seamless Limited,7(2),Raghav Jindal,Promoter Group,Equity Shares,75778,0.11,,9000,2247227,Buy,Equity Shares,84778,0.13,19-Nov-2020,19-Nov-2020,20-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,21-Nov-2020 16:20,https://archives.nseindia.com/corporate/xbrl/IT_1084046_365469_21112020042030_WEB.xml
64,MAHSEAMLES,Maharashtra Seamless Limited,7(2),SAVITA JINDAL,Promoter Group,Equity Shares,234259,0.35,,4000,998768,Buy,Equity Shares,238259,0.36,19-Nov-2020,19-Nov-2020,20-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,21-Nov-2020 16:13,https://archives.nseindia.com/corporate/xbrl/IT_1084043_365465_21112020041313_WEB.xml
65,MAHSEAMLES,Maharashtra Seamless Limited,7(2),Dharam Pal Jindal & Sons (HUF),Promoter Group,Equity Shares,199909,0.3,,12300,3071211,Buy,Equity Shares,212209,0.32,19-Nov-2020,19-Nov-2020,20-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,21-Nov-2020 16:05,https://archives.nseindia.com/corporate/xbrl/IT_1084041_365462_21112020040527_WEB.xml
66,MAHSEAMLES,Maharashtra Seamless Limited,7(2),Dharam Pal Jindal,Promoters,Equity Shares,220322,0.33,,26500,6616835,Buy,Equity Shares,246822,0.37,19-Nov-2020,19-Nov-2020,20-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,21-Nov-2020 15:55,https://archives.nseindia.com/corporate/xbrl/IT_1084039_365459_21112020035535_WEB.xml
67,ARENTERP,Rajdarshan Industries Limited,7(2),ARUNA DOSHI,Director,Equity Shares,1231780,39.62,,3751,38120,Buy,Equity Shares,1235531,39.74,18-Nov-2020,20-Nov-2020,21-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,21-Nov-2020 15:53,https://archives.nseindia.com/corporate/xbrl/IT_1084038_365456_21112020035317_WEB.xml
